id,name,genre,subgenre,city,venue_id,venue_name,latitude,longitude,attraction_id,attraction_name,event_date,min_price,max_price,currency,url,fetched_at
LvZ18Qjy61iudxYvOGp1A,Courtney Pine: A Modern-Day Jazz Story 1986-2026,Jazz,Jazz,London,KovZpZAnaJaA,Jazz Cafe,51.53859,-0.143343,K8vZ9175lJf,Courtney Pine,2026-08-12,,,,https://www.universe.com/events/courtney-pine-a-modern-day-jazz-story-1986-2026-tickets-37V6SW?ref=ticketmaster,2026-08-10T10:21:16
LvZ18QjzW1oTK_YvGAMPP,Steely Scam,Pop,Pop Rock,Southampton,KovZ9177NC7,Southampton 1865,50.8989811,-1.4004633,K8vZ917rq40,Steely Scam,2026-08-12,,,,https://www.universe.com/events/steely-scam-tickets-2T9P4J?ref=ticketmaster,2026-08-10T10:21:16
LvZ18Qrra1Fgf88v1gYkH,The Courettes,Alternative,Indie Pop,Derby,KovZpZAtadFA,The Hairy Dog,52.921971,-1.480463,K8vZ917bzlV,The Courettes,2026-08-12,,,,https://www.universe.com/events/the-courettes-tickets-SBW4CY?ref=ticketmaster,2026-08-10T10:21:16
LvZ18Q-DZpBlUROZ0Mfe1,Triggah - Album Release Show,Jazz,Jazz,London,KovZ9177Lef,Fox and Firkin,,,K8vZ917OQrV,TRiGGAH,2026-08-12,,,,https://www.universe.com/events/triggah-album-release-show-tickets-VGP8DL?ref=ticketmaster,2026-08-10T10:21:16
LvZ18QLeY8HYirOvqwGdU,Lucia & the Best Boys,Alternative,Indie Rock,Aviemore,KovZ9177wYV,The Old Bridge Inn,57.185952,-3.828708,K8vZ917bmMf,Lucia & the Best Boys,2026-08-12,,,,https://www.universe.com/events/lucia-the-best-boys-tickets-BLTQFX?ref=ticketmaster,2026-08-10T10:21:16
LvZ18QPzbnlfTegYw01-c,Amplify - The Bunny Suit / Poison TheRat / Perfectly Blind,Alternative,Alternative,St Albans,KovZ91773g7,The Horn,51.750295,-0.329006,K8vZ917rDk0,Amplify new music nights,2026-08-12,,,,https://www.universe.com/events/amplify-the-bunny-suit-poison-therat-perfectly-blind-tickets-5JHNMB?ref=ticketmaster,2026-08-10T10:21:16
LvZ18Q0C9EzDQdjpkKdHl,"Live Jazz from the Piano Bar at Red Room Studios, Soho",Jazz,Jazz,London,KovZpZAnankA,Piano Bar Soho,51.5111127,-0.1343758,K8vZ917qaWf,Piano Bar Soho,2026-08-12,,,,https://www.universe.com/events/live-jazz-from-the-piano-bar-at-red-room-studios-soho-tickets-ZD6FXL?ref=ticketmaster,2026-08-10T10:21:16
LvZ18QJiUat_qBoLOJ9wo,Reggae Classics,Reggae,Reggae,London,KovZpZAnvalA,"Boisdale, Canary Wharf",51.505252,-0.022271,K8vZ917-uG7,Reggae Classics,2026-08-12,,,,https://www.universe.com/events/reggae-classics-tickets-780ZQV?ref=ticketmaster,2026-08-10T10:21:16
1AdjZbzGkRJwk5F,Billy Ocean,R&B,Soul,Liverpool,KovZ9177Ms7,Salt & Tar,53.44908518,-2.99790361,K8vZ9175MPV,Billy Ocean,2026-08-13,,,,https://www.ticketmaster.co.uk/billy-ocean-liverpool-13-08-2026/event/3700638BE6C862C8,2026-08-10T10:21:16
LvZ18Qjg5vl1KbZvG5K5h,Nile Rodgers & CHIC - Borde Hill Summer Series,R&B,R&B,West Sussex,KovZ91776Jf,Borde Hill Garden,51.021837,-0.113146,K8vZ9171rW7,Nile Rodgers & CHIC,2026-08-13,,,,https://www.universe.com/events/nile-rodgers-chic-borde-hill-summer-series-tickets-GLX2DN?ref=ticketmaster,2026-08-10T10:21:16
1ku8v08IGACK-Ug,Palace Bowl Presents - Bastille & The Wombats,Rock,Pop,London,KovZ9177tzf,Crystal Palace Bowl,51.420917,-0.067386,K8vZ917L1V0,Palace Bowl Presents,2026-08-13,,,,https://www.ticketmaster.co.uk/palace-bowl-presents-bastille-the-wombats-london-13-08-2026/event/350064428E4E1DB5,2026-08-10T10:21:16
LvZ18Q-OP9bjBuOZEDHM2,Mishikui,Alternative,Alternative,London,KovZpZAt6AEA,New Cross Inn,51.475524,-0.03838,K8vZ917Ohvf,mishikui,2026-08-13,,,,https://www.universe.com/events/mishikui-tickets-1KSTB5?ref=ticketmaster,2026-08-10T10:21:16
LvZ18QxZIf82ymOZzH7I9,The Best of Birmingham Thu 13 August 2026 The Jam House Birmingham,Pop,Pop,Birmingham,KovZpZAnJI6A,The Jam House Birmingham,52.48509613,-1.904386,K8vZ917b54V,Live music,2026-08-13,,,,https://www.universe.com/events/the-best-of-birmingham-thu-13-august-2026-the-jam-house-birmingham-tickets-27XS6K?ref=ticketmaster,2026-08-10T10:21:16
1AdbZ_eGkDxHJA9,Idlewild,Rock,Pop,Glasgow,KovZ9177VAf,Kelvingrove Bandstand,55.872313,-4.283712,K8vZ9171Rx7,Idlewild,2026-08-13,,,,https://www.ticketmaster.co.uk/idlewild-glasgow-13-08-2026/event/3600642EE2F26157,2026-08-10T10:21:16
1AgZko_GketQVxp,JOJI: SOLARIS,R&B,R&B,London,KovZ9177PFf,The O2,51.501581,0.005519,K8vZ9179euV,Joji,2026-08-13,,,,https://www.ticketmaster.co.uk/joji-solaris-london-13-08-2026/event/35006459A96B4896,2026-08-10T10:21:16
LvZ18Q0C4HTwr5AZwuPVu,"Live Jazz from the Piano Bar at Red Room Studios, Soho",Jazz,Jazz,London,KovZpZAnankA,Piano Bar Soho,51.5111127,-0.1343758,K8vZ917qaWf,Piano Bar Soho,2026-08-13,,,,https://www.universe.com/events/live-jazz-from-the-piano-bar-at-red-room-studios-soho-tickets-ZD6FXL?ref=ticketmaster,2026-08-10T10:21:16
LvZ18QNCi5Hz-p8Zz1KUA,Laura White,Pop,Pop Rock,London,KovZ9177ga7,Soul Mama Islington,51.534184,-0.106126,K8vZ9174npV,Laura White,2026-08-13,,,,https://www.universe.com/events/laura-white-tickets-YNMRBQ?ref=ticketmaster,2026-08-10T10:21:16
17GOv0G6CL_aYNe,Nao,R&B,Soul,London,KovZpZAleakA,Night Tales Loft,51.537504,-0.059033,K8vZ9173Vbf,Nao,2026-08-13,,,,https://www.ticketweb.uk/event/nao-night-tales-loft-tickets/14242934?REFERRAL_ID=tmfeed,2026-08-10T10:21:16
1AdFZ_7GkRlaORj,Niamh Morris,Pop,Pop,Glasgow,KovZ9177cM7,Attic Bar  - Glasgow Garage,55.8663,-4.27222,K8vZ917q3C0,Niamh Morris,2026-08-13,,,,https://www.ticketweb.uk/event/niamh-morris-the-garage-attic-bar-tickets/14155594?REFERRAL_ID=tmfeed,2026-08-10T10:21:16
G5dzZ_AK8cEdm,The Harry Styles Tribute Show starring Sean Mac,Other,Other,Manchester,KovZ9177kaf,O2 Ritz Manchester,53.474423,-2.243098,K8vZ917L_Qf,The Harry Styles Tribute Show,2026-08-13,,,,https://www.ticketmaster.co.uk/the-harry-styles-tribute-show-starring-manchester-13-08-2026/event/3E006454D0B670EE,2026-08-10T10:21:16
G5vHZ_CjvT5Cq,Miss Kaninna,Hip-Hop/Rap,Trap,London,KovZ9177uOV,"Social, The",51.5174,-0.140846,K8vZ917jOUV,Miss Kaninna,2026-08-13,,,,https://www.ticketmaster.co.uk/miss-kaninna-london-13-08-2026/event/1F0064E701FCB39D,2026-08-10T10:21:16
LvZ18Q-912JNCG8vuUnWN,L'Entourloop,Reggae,Reggae,Leeds,KovZ9177q5V,Project House,,,K8vZ9179oL0,L'entourloop,2026-08-13,,,,https://www.universe.com/events/lentourloop-tickets-3KL0PC?ref=ticketmaster,2026-08-10T10:21:16
LvZ18QE6YtTdBAzeauQEl,Hine After Hours,Dance/Electronic,Dance/Electronic,London,KovZpZAnvalA,"Boisdale, Canary Wharf",51.505252,-0.022271,K8vZ917-CSf,Hine After Hours,2026-08-13,,,,https://www.universe.com/events/hine-after-hours-tickets-LMG4R7?ref=ticketmaster,2026-08-10T10:21:16
LvZ18QO63lWQrmYZ06MWk,MAVIS STAPLES,R&B,R&B,London,KovZ9177ko0,Union Chapel,51.54378,-0.102362,K8vZ917GeTf,Mavis Staples,2026-08-13,,,,https://www.universe.com/events/mavis-staples-tickets-90RPK5?ref=ticketmaster,2026-08-10T10:21:16
LvZ18Q_j3wAin88ZyTvMg,Crypta,Metal,Metal,Southampton,KovZ9177NC7,Southampton 1865,50.8989811,-1.4004633,K8vZ917_Qb0,Crypta,2026-08-13,,,,https://www.universe.com/events/crypta-tickets-WPZH34?ref=ticketmaster,2026-08-10T10:21:16
LvZ18QxN7FbzYRYZvNl7f,Round 41 - Live Jazz and Fusion Night,Jazz,Jazz,London,KovZ9177WFf,Jack Solomons Club,51.5111721,-0.1342534,K8vZ917jDgV,Soho Live Music Club,2026-08-13,,,,https://www.universe.com/events/round-41-live-jazz-and-fusion-night-tickets-Z40R35?ref=ticketmaster,2026-08-10T10:21:16
LvZ18QOF3F2YOYOZJuZCC,King Tut's Summer Nights Presents: Flame,Rock,Pop,Glasgow,KovZ9177YV0,King Tuts Wah Wah Hut,55.862637,-4.265037,K8vZ917C-df,King Tuts Summer Nights,2026-08-13,,,,https://www.universe.com/events/king-tuts-summer-nights-presents-flame-tickets-3NZV06?ref=ticketmaster,2026-08-10T10:21:16
1AgZk8MGkeso0qh,ABBA Voyage,Pop,Pop,London,KovZ9177E07,ABBA Arena,51.53327366,-0.01362306,K8vZ917_x47,ABBA Voyage,2026-08-13,,,,https://theatre.ticketmaster.co.uk/book/1H8DJ-abba-voyage-admissions/#perf=1H8DJ-G14&date=2026-08-13&time=7.45PM,2026-08-10T10:21:16
1ku8v0uSGAG9a-B,Abba Voyage - VIP Premium Package,Pop,Pop,London,KovZ9177E07,ABBA Arena,51.53327366,-0.01362306,K8vZ917_x47,ABBA Voyage,2026-08-13,,,,https://theatre.ticketmaster.co.uk/book/1H8DJ-abba-voyage-admissions/#perf=1H8DJ-G16&date=2026-08-13&time=7.45PM,2026-08-10T10:21:16
17GOv0G6CDfHZOM,Tuff Luck + Taubs + Highstone,Rock,Pop,London,KovZ9177XdV,The Troubadour,51.488695,-0.19197,,,2026-08-13,,,,https://www.ticketweb.uk/event/tuff-luck-taubs-troubadour-tickets/14259064?REFERRAL_ID=tmfeed,2026-08-10T10:21:16
LvZ18QE31XEpkIMM3xCVh,Amplify - Peach Rebels / Pearlescent / Lord Lucy,Alternative,Alternative,Hertford,KovZ9177Ch0,Hertford Corn Exchange,,,K8vZ917rDk0,Amplify new music nights,2026-08-13,,,,https://www.universe.com/events/amplify-peach-rebels-pearlescent-lord-lucy-tickets-BMZ5DG?ref=ticketmaster,2026-08-10T10:21:16
LvZ18Q0C4HTwr5AZwuPVG,"Live Jazz from the Piano Bar at Red Room Studios, Soho",Jazz,Jazz,London,KovZpZAnankA,Piano Bar Soho,51.5111127,-0.1343758,K8vZ917qaWf,Piano Bar Soho,2026-08-13,,,,https://www.universe.com/events/live-jazz-from-the-piano-bar-at-red-room-studios-soho-tickets-ZD6FXL?ref=ticketmaster,2026-08-10T10:21:16
LvZ18Q4mmpvmoqOZ0DRIH,Amy Winehouse | Lucy Randell,R&B,Soul,London,KovZpZAnvalA,"Boisdale, Canary Wharf",51.505252,-0.022271,K8vZ917qUD7,Lucy Randell,2026-08-13,,,,https://www.universe.com/events/amy-winehouse-lucy-randell-tickets-3P87L1?ref=ticketmaster,2026-08-10T10:21:16
G5vHZ_dQsOdka,Tinie Tempah - Live After Racing,Hip-Hop/Rap,Trap,Newbury,KovZpZAn66dA,Newbury Racecourse,51.397009,-1.307031,K8vZ917GP3V,Tinie Tempah,2026-08-14,,,,https://www.ticketmaster.co.uk/tinie-tempah-live-after-racing-newbury-14-08-2026/event/1F006436B1803189,2026-08-10T10:21:16
1AgZkoAGkestfWO,Palace Bowl Presents - Davido,World,World,London,KovZ9177tzf,Crystal Palace Bowl,51.420917,-0.067386,K8vZ9173mOf,Davido,2026-08-14,,,,https://www.ticketmaster.co.uk/palace-bowl-presents-davido-london-14-08-2026/event/35006445B1A54F60,2026-08-10T10:21:16
