venue_id,genre,acts,venue_name,city,latitude,longitude,fetched_at
KovZpZAnJadA,Rock,7,Exchange Bristol,Bristol,51.455601,-2.582491,2026-08-06T17:36:43
KovZpZAnJelA,Folk,1,Louisiana,Bristol,51.446782,-2.596421,2026-08-06T17:36:43
KovZpZAnJelA,Rock,2,Louisiana,Bristol,51.446782,-2.596421,2026-08-06T17:36:43
KovZpZAnJkFA,Country,2,O2 Institute2 Birmingham,Birmingham,52.475756,-1.887562,2026-08-06T17:36:43
KovZpZAnJkFA,Dance/Electronic,2,O2 Institute2 Birmingham,Birmingham,52.475756,-1.887562,2026-08-06T17:36:43
KovZpZAnJkFA,Hip-Hop/Rap,3,O2 Institute2 Birmingham,Birmingham,52.475756,-1.887562,2026-08-06T17:36:43
KovZpZAnJkFA,Metal,4,O2 Institute2 Birmingham,Birmingham,52.475756,-1.887562,2026-08-06T17:36:43
KovZpZAnJkFA,Pop,3,O2 Institute2 Birmingham,Birmingham,52.475756,-1.887562,2026-08-06T17:36:43
KovZpZAnJkFA,R&B,3,O2 Institute2 Birmingham,Birmingham,52.475756,-1.887562,2026-08-06T17:36:43
KovZpZAnJkFA,Rock,23,O2 Institute2 Birmingham,Birmingham,52.475756,-1.887562,2026-08-06T17:36:43
KovZpZAnJkkA,Alternative,5,Band On The Wall.,Manchester,53.485235,-2.234389,2026-08-06T17:36:43
KovZpZAnJkkA,Blues,1,Band On The Wall.,Manchester,53.485235,-2.234389,2026-08-06T17:36:43
KovZpZAnJkkA,Dance/Electronic,1,Band On The Wall.,Manchester,53.485235,-2.234389,2026-08-06T17:36:43
KovZpZAnJkkA,Folk,2,Band On The Wall.,Manchester,53.485235,-2.234389,2026-08-06T17:36:43
KovZpZAnJkkA,Hip-Hop/Rap,2,Band On The Wall.,Manchester,53.485235,-2.234389,2026-08-06T17:36:43
KovZpZAnJkkA,Jazz,2,Band On The Wall.,Manchester,53.485235,-2.234389,2026-08-06T17:36:43
KovZpZAnJkkA,Pop,1,Band On The Wall.,Manchester,53.485235,-2.234389,2026-08-06T17:36:43
KovZpZAnJkkA,R&B,1,Band On The Wall.,Manchester,53.485235,-2.234389,2026-08-06T17:36:43
KovZpZAnJkkA,Reggae,1,Band On The Wall.,Manchester,53.485235,-2.234389,2026-08-06T17:36:43
KovZpZAnJkkA,Rock,9,Band On The Wall.,Manchester,53.485235,-2.234389,2026-08-06T17:36:43
KovZpZAnJkkA,World,2,Band On The Wall.,Manchester,53.485235,-2.234389,2026-08-06T17:36:43
KovZpZAnJneA,Rock,1,Club 85,Hitchin,51.952411,-0.272188,2026-08-06T17:36:43
KovZpZAnJv6A,Country,1,O2 Academy 2 Liverpool,Liverpool,53.4091275,-2.9771058,2026-08-06T17:36:43
KovZpZAnJv6A,Dance/Electronic,1,O2 Academy 2 Liverpool,Liverpool,53.4091275,-2.9771058,2026-08-06T17:36:43
KovZpZAnJv6A,Hip-Hop/Rap,1,O2 Academy 2 Liverpool,Liverpool,53.4091275,-2.9771058,2026-08-06T17:36:43
KovZpZAnJv6A,Pop,2,O2 Academy 2 Liverpool,Liverpool,53.4091275,-2.9771058,2026-08-06T17:36:43
KovZpZAnJv6A,Rock,13,O2 Academy 2 Liverpool,Liverpool,53.4091275,-2.9771058,2026-08-06T17:36:43
KovZpZAnJv7A,Country,1,Edinburgh Corn Exchange,Edinburgh,55.926128,-3.24748,2026-08-06T17:36:43
KovZpZAnJv7A,Dance/Electronic,1,Edinburgh Corn Exchange,Edinburgh,55.926128,-3.24748,2026-08-06T17:36:43
KovZpZAnJv7A,Folk,2,Edinburgh Corn Exchange,Edinburgh,55.926128,-3.24748,2026-08-06T17:36:43
KovZpZAnJv7A,Metal,1,Edinburgh Corn Exchange,Edinburgh,55.926128,-3.24748,2026-08-06T17:36:43
KovZpZAnJv7A,Pop,2,Edinburgh Corn Exchange,Edinburgh,55.926128,-3.24748,2026-08-06T17:36:43
